Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Google,ggcs,https://peering.google.com/#/infrastructure,Gaddala,India,Active,,,,,0,,,,,,17.11,81.819
Google,ggcs,https://peering.google.com/#/infrastructure,Richmond,Canada,Active,,,,,0,,,,,,49.194,-123.184
Google,ggcs,https://peering.google.com/#/infrastructure,Cần Thơ,Viet Nam,Active,,,,,0,,,,,,10.051,105.763
Google,ggcs,https://peering.google.com/#/infrastructure,,Namibia,Active,,,,,0,,,,,,-22.48,17.471
Google,ggcs,https://peering.google.com/#/infrastructure,Palmira,Colombia,Active,,,,,0,,,,,,3.543,-76.382
Google,ggcs,https://peering.google.com/#/infrastructure,Khimki,Russian Federation,Active,,,,,0,,,,,,55.973,37.415
Google,ggcs,https://peering.google.com/#/infrastructure,Kharkiv,Ukraine,Active,,,,,0,,,,,,49.926,36.284
Google,ggcs,https://peering.google.com/#/infrastructure,Chiclayo,Peru,Active,,,,,0,,,,,,-6.787,-79.828
Google,ggcs,https://peering.google.com/#/infrastructure,Buqar Jıraw District,Kazakhstan,Active,,,,,0,,,,,,49.671,73.334
Google,ggcs,https://peering.google.com/#/infrastructure,Brisbane Airport,Australia,Active,,,,,0,,,,,,-27.384,153.118
Google,ggcs,https://peering.google.com/#/infrastructure,Melbourne,Australia,Active,,,,,0,,,,,,-37.673,144.843
Google,ggcs,https://peering.google.com/#/infrastructure,Veracruz,Mexico,Active,,,,,0,,,,,,19.146,-96.187
Google,ggcs,https://peering.google.com/#/infrastructure,Khan Pou Senchey,Cambodia,Active,,,,,0,,,,,,11.547,104.844
Google,ggcs,https://peering.google.com/#/infrastructure,Ivanovo,Russian Federation,Active,,,,,0,,,,,,57.058,40.98
Google,ggcs,https://peering.google.com/#/infrastructure,Vinnytsia,Ukraine,Active,,,,,0,,,,,,49.245,28.61
Google,ggcs,https://peering.google.com/#/infrastructure,City of Belmont,Australia,Active,,,,,0,,,,,,-31.94,115.967
