Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Edmonton,Canada,Active,IPv6,TELUS Communications Inc.,c025,YEG,1,Telus,ISP,,,,53.313,-113.577
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Los Angeles,United States,Active,IPv6,Netflix Streaming Services Inc.,c071,LAX,9,,IXP,,,,33.943,-118.407
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Monterrey,Mexico,Active,IPv4,,c001,MTY,1,Telmex,ISP,,,,25.776,-100.109
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Minneapolis,United States,Active,IPv4,Airstream Communications,c005,MSP,1,Airstream,ISP,,,,44.881,-93.222
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Brisbane,Australia,Active,IPv4,Telstra Corporation Ltd,c009,BNE,2,Telstra,ISP,,,,-27.385,153.116
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Berlin,Germany,Active,IPv4,Netflix Streaming Services Inc.,c017,BER,1,,IXP,,,,52.37,13.506
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,St Louis,United States,Active,IPv4,Netflix Streaming Services Inc.,c046,STL,1,,IXP,,,,38.748,-90.371
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Juiz De Fora,Brazil,Active,IPv4,NETSTAR SOLUCOES LTDA,c001,IZA,1,Netstar,ISP,,,,-21.51,-43.17
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Florianopolis,Brazil,Active,IPv4,COMMCORP COMUNICACOES LTDA,c002,FLN,1,Brdigital br,ISP,,,,-27.675,-48.557
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lima,Peru,Active,IPv4,PIT PERU S.A.C,c002,LIM,1,Peruix,ISP,,,,-12.022,-77.115
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Liverpool,United Kingdom,Active,IPv4,TalkTalk Communications Limited,c002,LPL,3,Talktalk,ISP,,,,53.337,-2.847
